Time,Tank1 Level,Tank2 Level
13.09999999999997,10.599999999999978,10.599999999999978
13.199999999999969,10.699999999999978,10.699999999999978
13.299999999999969,10.799999999999978,10.799999999999978
13.399999999999968,10.899999999999977,10.899999999999977
13.499999999999968,10.999999999999977,10.999999999999977
13.599999999999968,11.099999999999977,11.099999999999977
13.699999999999967,11.199999999999976,11.199999999999976
13.799999999999967,11.299999999999976,11.299999999999976
13.899999999999967,11.399999999999975,11.399999999999975
13.999999999999966,11.499999999999975,11.499999999999975
14.099999999999966,11.599999999999975,11.599999999999975
14.199999999999966,11.699999999999974,11.699999999999974
14.299999999999965,11.799999999999974,11.799999999999974
14.399999999999965,11.899999999999974,11.899999999999974
14.499999999999964,11.999999999999973,11.999999999999973
14.599999999999964,12.099999999999973,12.099999999999973
14.699999999999964,12.199999999999973,12.199999999999973
